Unnamed: 0.1,Unnamed: 0,Time,PriceArea,ConsumptionValue,DayAheadPriceEUR,WeatherWindSpeed,WeatherTemperature,Year,Month,Day,Hour,WeatherTemperature_F,Solar_MWh,Wind_Offshore,Wind_Onshore,ym,tempbin,tempbin2,block,YearMonthDay,Price_Area,Price_gas,Price_coal,Price_EUA,IsHoliday,B16,B18,B19,Price_gas_ttf
1905923.0,2724528.0,2023-01-19 11:00:00,GR,5611.0,9.1,12.806862831115724,288.70623779296875,2023.0,1.0,19.0,11.0,60.00122802734379,2384.0,0.0,2545.0,2023-01,5.0,3.600147364789306,3.0,2023-01-19,cegh,62.0,175.4,84.26,0.0,,,,
2118721.0,2985500.0,2023-10-15 04:00:00,GR,3831.0,91.99,3.226064443588257,291.67498779296875,2023.0,10.0,15.0,4.0,65.34497802734379,17.0,0.0,222.0,2023-10,5.0,4.2699661533940425,1.0,2023-10-15,cegh,48.675,139.1,85.66,0.0,,,,
1997263.0,2833589.0,2023-05-14 19:00:00,EE,773.0,126.62,3.547499895095825,289.3482666015625,2023.0,5.0,14.0,19.0,61.15687988281254,1.0,0.0,15.0,2023-05,5.0,3.740163957000761,5.0,2023-05-14,etf,33.5,119.15,88.93,0.0,,,,
2128506.0,2997704.0,2023-10-27 13:00:00,SI,1551.0,115.53,4.114279270172119,288.77349853515625,2023.0,10.0,27.0,13.0,60.12229736328129,99.0,0.0,0.0,2023-10,5.0,3.6146906402388206,4.0,2023-10-27,cegh,44.5,136.08,79.36,0.0,,,,
587595.0,871599.0,2017-08-31 01:00:00,RO,5393.0,31.0128,3.6697609424591056,288.5409851074219,2017.0,8.0,31.0,1.0,59.70377319335942,0.0,0.0,48.0,2017-08,4.0,3.5645405335241027,1.0,2017-08-31,cz,16.4,87.8,5.94,0.0,,,,
1051722.0,1581679.0,2019-09-29 01:00:00,IT_SARD,841.0,38.06,4.167044162750244,294.0889587402344,2019.0,9.0,29.0,1.0,69.69012573242192,0.0,0.0,11.0,2019-09,5.0,4.856713624600776,1.0,2019-09-29,cegh,10.075,60.35,25.3,0.0,,,,
507557.0,754607.0,2017-04-24 17:00:00,EE,974.0,39.42,4.665919780731201,277.78765869140625,2017.0,4.0,24.0,17.0,40.34778564453129,1.0,0.0,25.0,2017-04,3.0,1.6279438064170453,5.0,2017-04-24,etf,16.625,75.25,4.64,0.0,,,,
1078260.0,1620935.0,2019-11-09 00:00:00,LT,1054.0,40.5,6.770411014556885,279.609375,2019.0,11.0,9.0,24.0,43.62687500000004,0.0,0.0,100.0,2019-11,3.0,1.903304222265629,6.0,2019-11-09,etf,15.275,55.75,24.84,0.0,,,,
1815705.0,2615130.0,2022-09-24 12:00:00,SE_4,2043.0,248.95,3.4706404209136963,287.98858642578125,2022.0,9.0,24.0,12.0,58.70945556640629,80.0,0.0,110.0,2022-09,4.0,3.4468001729038344,3.0,2022-09-24,etf,175.85,327.0,65.77,0.0,,,,
824509.0,1231029.0,2018-09-25 21:00:00,IT_CSUD,4250.0,65.99,11.32061767578125,286.97222900390625,2018.0,9.0,25.0,21.0,56.88001220703129,0.0,0.0,996.0,2018-09,4.0,3.2353357886720286,6.0,2018-09-25,cegh,29.725,100.35,21.25,0.0,,,,
266821.0,397868.0,2016-03-24 18:00:00,CH,7534.0,38.11,2.545508623123169,275.02227783203125,2016.0,3.0,24.0,18.0,35.37010009765629,0.0,0.0,5.0,2016-03,2.0,1.2510439809182254,5.0,2016-03-24,cegh,11.85,46.2,4.86,0.0,,,,
1009769.0,1517307.0,2019-07-23 23:00:00,ES,28596.0,53.19,4.798665523529053,297.1936340332031,2019.0,7.0,23.0,23.0,75.27854125976566,514.0,0.0,2244.0,2019-07,6.0,5.666858774198241,6.0,2019-07-23,pvb,21.85,58.2,29.81,0.0,,,,
1011879.0,1520605.0,2019-07-27 09:00:00,SK,3154.0,38.03,4.088593006134033,295.6221008300781,2019.0,7.0,27.0,9.0,72.44978149414067,88.0,0.0,0.0,2019-07,6.0,5.248970838548727,3.0,2019-07-27,cz,10.25,58.35,28.29,0.0,,,,
,,2024-10-05 06:00:00,HR,1982.25,110.45,3.797025680541992,284.4755859375,2024.0,10.0,5.0,6.0,52.38605468750004,19.25,0.0,385.75,2024-10,4.0,2.744298725721745,2.0,2024-10-05 00:00:00,cegh,40.7,121.95,62.05,,19.25,,385.75,
1637729.0,2398166.0,2022-02-05 22:00:00,CZ,7111.0,85.07,9.441177368164062,272.9745178222656,2022.0,2.0,5.0,22.0,31.684132080078165,0.0,0.0,201.0,2022-02,2.0,1.0038842256678382,6.0,2022-02-05,cz,82.35,183.0,96.45,0.0,,,,
2287643.0,3190885.0,2024-05-10 02:00:00,IT_SARD,670.0,70.0,5.82936954498291,289.6792907714844,2024.0,5.0,10.0,2.0,61.75272338867192,0.0,0.0,17.0,2024-05,5.0,3.813398845917828,1.0,2024-05-10,cegh,29.2,106.9,71.59,0.0,,,,
1192331.0,1789017.0,2020-05-02 06:00:00,HR,1439.0,10.3,3.656448602676392,286.23199462890625,2020.0,5.0,2.0,6.0,55.54759033203129,13.0,0.0,21.0,2020-05,4.0,3.085534791695176,2.0,2020-05-02,cegh,5.825,39.75,18.97,0.0,,,,
851778.0,1273539.0,2018-11-10 11:00:00,BG,4227.0,25.05842092,2.2527430057525635,286.3125915527344,2018.0,11.0,10.0,11.0,55.69266479492192,483.0,0.0,8.0,2018-11,4.0,3.101672911959535,3.0,2018-11-10,cz,24.925,91.75,19.5,0.0,,,,
